name	occupation	gender	citizenship	noble title	place of birth	employer	member of	academic degree	religion	award
Andrew Yao	university teacher	male	United States of America		Shanghai		National Academy of Sciences			International Association for Cryptologic Research fellow
Donald Knuth	academic	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		Association for Computing Machinery	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		Institute of Electrical and Electronics Engineers	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		French Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		National Academy of Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		American Academy of Arts and Sciences	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		American Mathematical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		American Philosophical Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		Bavarian Academy of Sciences and Humanities	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		British Computer Society	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	engineer	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	computer scientist	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	mathematician	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	university teacher	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	academic	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	programmer	male	United States of America		Milwaukee		Norwegian Academy of Science and Letters	Doctor of Philosophy	Lutheranism	Grace Murray Hopper Award
Donald Knuth	writer	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	engineer	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	computer scientist	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	mathematician	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	university teacher	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	academic	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	programmer	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	historian of mathematics	male	United States of America		Milwaukee		Russian Academy of Sciences	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	writer	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Harvey Prize
Donald Knuth	engineer	male	United States of America		Milwaukee		Royal Society	Doctor of Philosophy	Lutheranism	Harvey Prize
Robin Milner	engineer	male	United Kingdom		Plymouth		Academia Europaea			honorary doctor of the University of Edinburgh
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Academia Europaea			honorary doctor of the University of Edinburgh
Robin Milner	university teacher	male	United Kingdom		Plymouth		Academia Europaea			honorary doctor of the University of Edinburgh
Robin Milner	engineer	male	United Kingdom		Plymouth		Royal Society of Edinburgh			Programming Languages Achievement Award
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Royal Society of Edinburgh			Programming Languages Achievement Award
Robin Milner	university teacher	male	United Kingdom		Plymouth		Royal Society of Edinburgh			Programming Languages Achievement Award
Robin Milner	engineer	male	United Kingdom		Plymouth		Royal Society			Programming Languages Achievement Award
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Royal Society			Programming Languages Achievement Award
Robin Milner	university teacher	male	United Kingdom		Plymouth		Royal Society			Programming Languages Achievement Award
Robin Milner	engineer	male	United Kingdom		Plymouth		Association for Computing Machinery			Programming Languages Achievement Award
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Association for Computing Machinery			Programming Languages Achievement Award
Robin Milner	university teacher	male	United Kingdom		Plymouth		Association for Computing Machinery			Programming Languages Achievement Award
Robin Milner	engineer	male	United Kingdom		Plymouth		French Academy of Sciences			Programming Languages Achievement Award
Robin Milner	computer scientist	male	United Kingdom		Plymouth		French Academy of Sciences			Programming Languages Achievement Award
Robin Milner	university teacher	male	United Kingdom		Plymouth		French Academy of Sciences			Programming Languages Achievement Award
Robin Milner	engineer	male	United Kingdom		Plymouth		Academia Europaea			Programming Languages Achievement Award
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Academia Europaea			Programming Languages Achievement Award
Robin Milner	university teacher	male	United Kingdom		Plymouth		Academia Europaea			Programming Languages Achievement Award
Robin Milner	engineer	male	United Kingdom		Plymouth		Royal Society of Edinburgh			honorary doctorate of the University of Glasgow
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Royal Society of Edinburgh			honorary doctorate of the University of Glasgow
Robin Milner	university teacher	male	United Kingdom		Plymouth		Royal Society of Edinburgh			honorary doctorate of the University of Glasgow
Robin Milner	engineer	male	United Kingdom		Plymouth		Royal Society			honorary doctorate of the University of Glasgow
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Royal Society			honorary doctorate of the University of Glasgow
Robin Milner	university teacher	male	United Kingdom		Plymouth		Royal Society			honorary doctorate of the University of Glasgow
Robin Milner	engineer	male	United Kingdom		Plymouth		Association for Computing Machinery			honorary doctorate of the University of Glasgow
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Association for Computing Machinery			honorary doctorate of the University of Glasgow
Robin Milner	university teacher	male	United Kingdom		Plymouth		Association for Computing Machinery			honorary doctorate of the University of Glasgow
Robin Milner	engineer	male	United Kingdom		Plymouth		French Academy of Sciences			honorary doctorate of the University of Glasgow
Robin Milner	computer scientist	male	United Kingdom		Plymouth		French Academy of Sciences			honorary doctorate of the University of Glasgow
Robin Milner	university teacher	male	United Kingdom		Plymouth		French Academy of Sciences			honorary doctorate of the University of Glasgow
Robin Milner	engineer	male	United Kingdom		Plymouth		Academia Europaea			honorary doctorate of the University of Glasgow
Robin Milner	computer scientist	male	United Kingdom		Plymouth		Academia Europaea			honorary doctorate of the University of Glasgow
Robin Milner	university teacher	male	United Kingdom		Plymouth		Academia Europaea			honorary doctorate of the University of Glasgow
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			Turing Award
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			Turing Award
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			Turing Award
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			IEEE John von Neumann Medal
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			IEEE John von Neumann Medal
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			IEEE John von Neumann Medal
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			ACM Software System Award
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			ACM Software System Award
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			ACM Software System Award
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			Charles Stark Draper Prize
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			Charles Stark Draper Prize
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			Charles Stark Draper Prize
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			Computer Pioneer Award
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			Computer Pioneer Award
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			Computer Pioneer Award
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			Foreign Member of the Royal Society
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			Foreign Member of the Royal Society
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			Foreign Member of the Royal Society
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			ACM Fellow
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			ACM Fellow
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			ACM Fellow
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			Computer History Museum fellow
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			Computer History Museum fellow
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			Computer History Museum fellow
Butler Lampson	engineer	male	United States of America		Washington, D.C.		Royal Society			Honorary doctor of the University of Bologna
Butler Lampson	computer scientist	male	United States of America		Washington, D.C.		Royal Society			Honorary doctor of the University of Bologna
Butler Lampson	university teacher	male	United States of America		Washington, D.C.		Royal Society			Honorary doctor of the University of Bologna
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Japan Prize
Adi Shamir	computer scientist	male	Israel		Tel Aviv		National Academy of Sciences			Japan Prize
Adi Shamir	mathematician	male	Israel		Tel Aviv		National Academy of Sciences			Japan Prize
Adi Shamir	cryptologist	male	Israel		Tel Aviv		National Academy of Sciences			Japan Prize
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Academia Europaea			Japan Prize
Adi Shamir	mathematician	male	Israel		Tel Aviv		Academia Europaea			Japan Prize
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Academia Europaea			Japan Prize
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Royal Society			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	mathematician	male	Israel		Tel Aviv		Royal Society			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Royal Society			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	computer scientist	male	Israel		Tel Aviv		French Academy of Sciences			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	mathematician	male	Israel		Tel Aviv		French Academy of Sciences			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	cryptologist	male	Israel		Tel Aviv		French Academy of Sciences			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	mathematician	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	computer scientist	male	Israel		Tel Aviv		National Academy of Sciences			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	mathematician	male	Israel		Tel Aviv		National Academy of Sciences			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	cryptologist	male	Israel		Tel Aviv		National Academy of Sciences			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Academia Europaea			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	mathematician	male	Israel		Tel Aviv		Academia Europaea			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Academia Europaea			Anna and Lajos Erdős Prize in Mathematics
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Royal Society			Paris Kanellakis Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		Royal Society			Paris Kanellakis Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Royal Society			Paris Kanellakis Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		French Academy of Sciences			Paris Kanellakis Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		French Academy of Sciences			Paris Kanellakis Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		French Academy of Sciences			Paris Kanellakis Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Paris Kanellakis Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Paris Kanellakis Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Paris Kanellakis Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		National Academy of Sciences			Paris Kanellakis Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		National Academy of Sciences			Paris Kanellakis Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		National Academy of Sciences			Paris Kanellakis Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Academia Europaea			Paris Kanellakis Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		Academia Europaea			Paris Kanellakis Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Academia Europaea			Paris Kanellakis Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Royal Society			Grande médaille de l’Académie des sciences
Adi Shamir	mathematician	male	Israel		Tel Aviv		Royal Society			Grande médaille de l’Académie des sciences
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Royal Society			Grande médaille de l’Académie des sciences
Adi Shamir	computer scientist	male	Israel		Tel Aviv		French Academy of Sciences			Grande médaille de l’Académie des sciences
Adi Shamir	mathematician	male	Israel		Tel Aviv		French Academy of Sciences			Grande médaille de l’Académie des sciences
Adi Shamir	cryptologist	male	Israel		Tel Aviv		French Academy of Sciences			Grande médaille de l’Académie des sciences
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Grande médaille de l’Académie des sciences
Adi Shamir	mathematician	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Grande médaille de l’Académie des sciences
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Grande médaille de l’Académie des sciences
Adi Shamir	computer scientist	male	Israel		Tel Aviv		National Academy of Sciences			Grande médaille de l’Académie des sciences
Adi Shamir	mathematician	male	Israel		Tel Aviv		National Academy of Sciences			Grande médaille de l’Académie des sciences
Adi Shamir	cryptologist	male	Israel		Tel Aviv		National Academy of Sciences			Grande médaille de l’Académie des sciences
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Academia Europaea			Grande médaille de l’Académie des sciences
Adi Shamir	mathematician	male	Israel		Tel Aviv		Academia Europaea			Grande médaille de l’Académie des sciences
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Academia Europaea			Grande médaille de l’Académie des sciences
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Royal Society			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		Royal Society			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Royal Society			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		French Academy of Sciences			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		French Academy of Sciences			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		French Academy of Sciences			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		National Academy of Sciences			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		National Academy of Sciences			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		National Academy of Sciences			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Academia Europaea			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	mathematician	male	Israel		Tel Aviv		Academia Europaea			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Academia Europaea			BBVA Foundation Frontiers of Knowledge Award
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Royal Society			Foreign Member of the Royal Society
Adi Shamir	mathematician	male	Israel		Tel Aviv		Royal Society			Foreign Member of the Royal Society
Adi Shamir	cryptologist	male	Israel		Tel Aviv		Royal Society			Foreign Member of the Royal Society
Adi Shamir	computer scientist	male	Israel		Tel Aviv		French Academy of Sciences			Foreign Member of the Royal Society
Adi Shamir	mathematician	male	Israel		Tel Aviv		French Academy of Sciences			Foreign Member of the Royal Society
Adi Shamir	cryptologist	male	Israel		Tel Aviv		French Academy of Sciences			Foreign Member of the Royal Society
Adi Shamir	computer scientist	male	Israel		Tel Aviv		Israel Academy of Sciences and Humanities			Foreign Member of the Royal Society
